Year,Value,Territory
2024,36.23666667,"Dark Gray Chernozemics, Dark Gray - Gray Luvisols (15)"
2012,36.30488095,Gray Luvisols (4)
2013,39.72142857,Gray Luvisols (4)
2014,32.39857143,Gray Luvisols (4)
2015,29.3002381,Gray Luvisols (4)
2016,42.68940476,Gray Luvisols (4)
2017,34.29,Gray Luvisols (4)
2018,34.28166667,Gray Luvisols (4)
2019,34.42214286,Gray Luvisols (4)
2020,45.69654762,Gray Luvisols (4)
2021,30.29857143,Gray Luvisols (4)
2022,32.66821429,Gray Luvisols (4)
2023,28.35595238,Gray Luvisols (4)
2024,36.22166667,Gray Luvisols (4)
2012,36.385,"Gray Luvisols, Organics (11)"
2013,30.52,"Gray Luvisols, Organics (11)"
2014,33.91583333,"Gray Luvisols, Organics (11)"
2015,27.76583333,"Gray Luvisols, Organics (11)"
2016,41.20083333,"Gray Luvisols, Organics (11)"
2017,38.46833333,"Gray Luvisols, Organics (11)"
2018,34.5225,"Gray Luvisols, Organics (11)"
2019,35.94083333,"Gray Luvisols, Organics (11)"
2020,39.77416667,"Gray Luvisols, Organics (11)"
2021,25.71916667,"Gray Luvisols, Organics (11)"
2022,31.23666667,"Gray Luvisols, Organics (11)"
2023,31.305,"Gray Luvisols, Organics (11)"
2024,30.70666667,"Gray Luvisols, Organics (11)"
