Year,Value,Territory
2012,36.16333333,Athabasca County
2013,36.41,Athabasca County
2014,32.18583333,Athabasca County
2015,26.47583333,Athabasca County
2016,43.04583333,Athabasca County
2017,43.83666667,Athabasca County
2018,33.51833333,Athabasca County
2019,39.51333333,Athabasca County
2020,42.4775,Athabasca County
2021,24.73583333,Athabasca County
2022,35.72416667,Athabasca County
2023,40.71666667,Athabasca County
2024,30.93666667,Athabasca County
2012,34.5125,Beaver County
2013,27.63583333,Beaver County
2014,30.9575,Beaver County
2015,29.09916667,Beaver County
2016,40.785,Beaver County
2017,34.78333333,Beaver County
2018,26.45666667,Beaver County
2019,35.85333333,Beaver County
2020,37.10916667,Beaver County
2021,22.30333333,Beaver County
2022,30.635,Beaver County
2023,31.5725,Beaver County
2024,31.71666667,Beaver County
2012,36.08583333,Birch Hills County
2013,38.235,Birch Hills County
2014,22.28916667,Birch Hills County
2015,26.38166667,Birch Hills County
2016,45.66166667,Birch Hills County
2017,33.64666667,Birch Hills County
2018,34.99916667,Birch Hills County
2019,29.41916667,Birch Hills County
2020,34.75333333,Birch Hills County
2021,26.43083333,Birch Hills County
2022,30.01333333,Birch Hills County
2023,30.65833333,Birch Hills County
2024,29.25666667,Birch Hills County
2012,49.0425,Brazeau County
2013,46.09416667,Brazeau County
2014,37.44166667,Brazeau County
2015,40.06,Brazeau County
2016,53.13,Brazeau County
2017,44.995,Brazeau County
2018,43.20166667,Brazeau County
2019,54.87416667,Brazeau County
2020,52.33916667,Brazeau County
2021,33.52416667,Brazeau County
2022,41.22666667,Brazeau County
2023,45.26916667,Brazeau County
2024,36.73333333,Brazeau County
2012,35.47,Calgary
2013,40.81833333,Calgary
2014,32.41083333,Calgary
2015,32.20083333,Calgary
2016,34.89166667,Calgary
2017,25.65916667,Calgary
2018,28.54166667,Calgary
2019,36.54833333,Calgary
2020,36.75583333,Calgary
2021,25.12083333,Calgary
2022,29.1825,Calgary
2023,24.86333333,Calgary
2024,38.03,Calgary
2012,32.20166667,Camrose County
2013,27.31,Camrose County
2014,30.1925,Camrose County
2015,28.3475,Camrose County
2016,38.9,Camrose County
2017,34.45583333,Camrose County
2018,26.225,Camrose County
2019,36.4,Camrose County
2020,39.38333333,Camrose County
2021,26.01833333,Camrose County
2022,31.35,Camrose County
2023,30.21166667,Camrose County
2024,27.285,Camrose County
2012,34.29166667,Cardston County
2013,38.25916667,Cardston County
2014,48.53083333,Cardston County
2015,34.0275,Cardston County
2016,40.65666667,Cardston County
2017,37.81,Cardston County
2018,35.07916667,Cardston County
2019,35.61416667,Cardston County
2020,34.82833333,Cardston County
2021,26.27916667,Cardston County
2022,35.45166667,Cardston County
2023,24.74666667,Cardston County
2024,44.11166667,Cardston County
2012,37.74833333,Clear Hills County
2013,43.08166667,Clear Hills County
2014,33.66166667,Clear Hills County
2015,32.37833333,Clear Hills County
2016,51.4025,Clear Hills County
2017,36.90416667,Clear Hills County
2018,37.79333333,Clear Hills County
2019,37.64333333,Clear Hills County
2020,43.84666667,Clear Hills County
2021,31.11583333,Clear Hills County
2022,45.92666667,Clear Hills County
2023,27.76916667,Clear Hills County
2024,30.75166667,Clear Hills County
2012,50.31,Clearwater County
2013,56.39166667,Clearwater County
2014,43.47166667,Clearwater County
2015,43.96333333,Clearwater County
2016,53.02333333,Clearwater County
2017,45.355,Clearwater County
2018,46.89916667,Clearwater County
2019,52.16916667,Clearwater County
2020,48.37583333,Clearwater County
2021,39.93416667,Clearwater County
2022,44.00416667,Clearwater County
2023,46.06,Clearwater County
2024,47.325,Clearwater County
2012,31.845,County of  Northern Lights
2013,37.21833333,County of  Northern Lights
2014,29.44416667,County of  Northern Lights
2015,30.06583333,County of  Northern Lights
2016,41.30083333,County of  Northern Lights
2017,31.33083333,County of  Northern Lights
2018,34.18166667,County of  Northern Lights
2019,34.70083333,County of  Northern Lights
2020,45.87833333,County of  Northern Lights
2021,33.11916667,County of  Northern Lights
2022,40.34166667,County of  Northern Lights
2023,21.17333333,County of  Northern Lights
2024,34.345,County of  Northern Lights
2012,39.71666667,County of Barrhead No. 11
2013,36.23166667,County of Barrhead No. 11
2014,32.18833333,County of Barrhead No. 11
2015,27.33916667,County of Barrhead No. 11
2016,46.81916667,County of Barrhead No. 11
2017,41.625,County of Barrhead No. 11
