Year,Value,Territory
2018,36.14,County of Barrhead No. 11
2019,40.66583333,County of Barrhead No. 11
2020,32.6225,County of Barrhead No. 11
2021,26.54083333,County of Barrhead No. 11
2022,31.90166667,County of Barrhead No. 11
2023,37.28,County of Barrhead No. 11
2024,30.46333333,County of Barrhead No. 11
2012,30.59833333,County of Forty Mile No. 8
2013,33.85916667,County of Forty Mile No. 8
2014,32.915,County of Forty Mile No. 8
2015,22.0575,County of Forty Mile No. 8
2016,36.18,County of Forty Mile No. 8
2017,21.87333333,County of Forty Mile No. 8
2018,19.21333333,County of Forty Mile No. 8
2019,22.35416667,County of Forty Mile No. 8
2020,26.69666667,County of Forty Mile No. 8
2021,15.5125,County of Forty Mile No. 8
2022,26.29166667,County of Forty Mile No. 8
2023,18.37916667,County of Forty Mile No. 8
2024,35.92,County of Forty Mile No. 8
2012,36.79083333,County of Grande Prairie No. 1
2013,41.4225,County of Grande Prairie No. 1
2014,29.23833333,County of Grande Prairie No. 1
2015,35.13833333,County of Grande Prairie No. 1
2016,49.61083333,County of Grande Prairie No. 1
2017,41.52166667,County of Grande Prairie No. 1
2018,43.18083333,County of Grande Prairie No. 1
2019,40.7275,County of Grande Prairie No. 1
2020,34.045,County of Grande Prairie No. 1
2021,27.53333333,County of Grande Prairie No. 1
2022,30.80833333,County of Grande Prairie No. 1
2023,29.675,County of Grande Prairie No. 1
2024,22.92666667,County of Grande Prairie No. 1
2012,29.68416667,County of Lethbridge
2013,32.535,County of Lethbridge
2014,39.2475,County of Lethbridge
2015,22.26583333,County of Lethbridge
2016,28.86,County of Lethbridge
2017,21.65416667,County of Lethbridge
2018,22.365,County of Lethbridge
2019,25.07166667,County of Lethbridge
2020,29.56666667,County of Lethbridge
2021,21.02833333,County of Lethbridge
2022,28.04166667,County of Lethbridge
2023,16.42833333,County of Lethbridge
2024,43.3,County of Lethbridge
2012,38.98583333,County of Minburn No. 27
2013,26.89166667,County of Minburn No. 27
2014,32.53833333,County of Minburn No. 27
2015,31.10333333,County of Minburn No. 27
2016,38.12833333,County of Minburn No. 27
2017,36.1075,County of Minburn No. 27
2018,27.2575,County of Minburn No. 27
2019,34.45333333,County of Minburn No. 27
2020,35.88583333,County of Minburn No. 27
2021,18.62166667,County of Minburn No. 27
2022,30.8525,County of Minburn No. 27
2023,24.76583333,County of Minburn No. 27
2024,32.24833333,County of Minburn No. 27
2012,30.70166667,County of Newell
2013,25.51916667,County of Newell
2014,29.875,County of Newell
2015,21.24,County of Newell
2016,30.63083333,County of Newell
2017,21.215,County of Newell
2018,19.94,County of Newell
2019,18.6875,County of Newell
2020,27.73666667,County of Newell
2021,15.37916667,County of Newell
2022,25.10666667,County of Newell
2023,12.20166667,County of Newell
2024,31.08833333,County of Newell
2012,36.3325,County of Paintearth No. 18
2013,25.2825,County of Paintearth No. 18
2014,31.3875,County of Paintearth No. 18
2015,32.14,County of Paintearth No. 18
2016,34.42,County of Paintearth No. 18
2017,25.92916667,County of Paintearth No. 18
2018,25.24666667,County of Paintearth No. 18
2019,26.14916667,County of Paintearth No. 18
2020,30.43666667,County of Paintearth No. 18
2021,18.67416667,County of Paintearth No. 18
2022,31.8625,County of Paintearth No. 18
2023,18.4275,County of Paintearth No. 18
2024,32.79,County of Paintearth No. 18
2012,39.62416667,County of St. Paul No. 19
2013,28.34,County of St. Paul No. 19
2014,32.6625,County of St. Paul No. 19
2015,27.87833333,County of St. Paul No. 19
2016,38.20416667,County of St. Paul No. 19
2017,40.3175,County of St. Paul No. 19
2018,34.165,County of St. Paul No. 19
2019,33.0575,County of St. Paul No. 19
2020,34.35666667,County of St. Paul No. 19
2021,22.91583333,County of St. Paul No. 19
2022,32.2675,County of St. Paul No. 19
2023,26.57,County of St. Paul No. 19
2024,25.73,County of St. Paul No. 19
2012,33.21,County of Stettler No. 6
2013,28.67583333,County of Stettler No. 6
2014,32.19333333,County of Stettler No. 6
2015,32.385,County of Stettler No. 6
2016,36.77166667,County of Stettler No. 6
2017,28.1775,County of Stettler No. 6
2018,26.97583333,County of Stettler No. 6
2019,29.95916667,County of Stettler No. 6
2020,36.4325,County of Stettler No. 6
2021,21.56083333,County of Stettler No. 6
2022,31.08666667,County of Stettler No. 6
2023,21.5875,County of Stettler No. 6
2024,30.40166667,County of Stettler No. 6
2012,36.3975,County of Thorhild No. 7
2013,33.12,County of Thorhild No. 7
2014,30.8,County of Thorhild No. 7
2015,24.17583333,County of Thorhild No. 7
2016,38.58416667,County of Thorhild No. 7
2017,38.2675,County of Thorhild No. 7
2018,33.82916667,County of Thorhild No. 7
2019,39.48,County of Thorhild No. 7
2020,41.6675,County of Thorhild No. 7
2021,23.3875,County of Thorhild No. 7
2022,31.915,County of Thorhild No. 7
2023,36.15916667,County of Thorhild No. 7
2024,29.33666667,County of Thorhild No. 7
2012,37.0125,County of Two Hills No. 21
2013,26.52166667,County of Two Hills No. 21
2014,32.29333333,County of Two Hills No. 21
2015,27.38916667,County of Two Hills No. 21
2016,38.0575,County of Two Hills No. 21
2017,36.92666667,County of Two Hills No. 21
2018,30.80166667,County of Two Hills No. 21
2019,32.965,County of Two Hills No. 21
2020,33.71416667,County of Two Hills No. 21
2021,21.07166667,County of Two Hills No. 21
2022,31.0225,County of Two Hills No. 21
2023,25.38666667,County of Two Hills No. 21
2024,29.48833333,County of Two Hills No. 21
2012,38.92083333,County of Vermilion River
2013,25.70833333,County of Vermilion River
2014,33.18,County of Vermilion River
2015,27.39916667,County of Vermilion River
2016,37.40083333,County of Vermilion River
2017,36.7525,County of Vermilion River
2018,32.715,County of Vermilion River
2019,32.3975,County of Vermilion River
2020,33.82583333,County of Vermilion River
2021,21.2175,County of Vermilion River
2022,30.93166667,County of Vermilion River
2023,23.43666667,County of Vermilion River
2024,29.70833333,County of Vermilion River
2012,30.84416667,County of Warner No. 5
2013,35.5575,County of Warner No. 5
2014,36.52083333,County of Warner No. 5
2015,23.855,County of Warner No. 5
2016,34.6125,County of Warner No. 5
2017,26.795,County of Warner No. 5
2018,25.61166667,County of Warner No. 5
2019,24.81583333,County of Warner No. 5
2020,28.27,County of Warner No. 5
2021,16.8875,County of Warner No. 5
2022,30.59,County of Warner No. 5
2023,17.33333333,County of Warner No. 5
2024,38.6,County of Warner No. 5
2012,43.05666667,County of Wetaskiwin No. 10
2013,38.9175,County of Wetaskiwin No. 10
2014,34.105,County of Wetaskiwin No. 10
2015,33.47666667,County of Wetaskiwin No. 10
2016,45.67333333,County of Wetaskiwin No. 10
2017,40.05583333,County of Wetaskiwin No. 10
2018,36.17166667,County of Wetaskiwin No. 10
2019,42.98166667,County of Wetaskiwin No. 10
2020,46.8,County of Wetaskiwin No. 10
2021,32.62833333,County of Wetaskiwin No. 10
2022,40.04166667,County of Wetaskiwin No. 10
2023,33.2875,County of Wetaskiwin No. 10
2024,31.38666667,County of Wetaskiwin No. 10
2012,29.58,Cypress County
2013,31.8975,Cypress County
2014,32.93916667,Cypress County
2015,21.6875,Cypress County
2016,38.86083333,Cypress County
2017,23.705,Cypress County
2018,20.8925,Cypress County
2019,21.89,Cypress County
2020,26.875,Cypress County
2021,16.4725,Cypress County
2022,25.98833333,Cypress County
2023,16.25833333,Cypress County
2024,37.4,Cypress County
2012,36.80166667,Drumheller
2013,30.72666667,Drumheller
2014,34.9025,Drumheller
2015,30.20166667,Drumheller
2016,41.58333333,Drumheller
2017,27.96916667,Drumheller
2018,33.225,Drumheller
2019,27.43833333,Drumheller
2020,34.49,Drumheller
2021,22.51583333,Drumheller
2022,24.71166667,Drumheller
2023,14.4975,Drumheller
2024,30.83333333,Drumheller
2012,37.68333333,Edmonton
2013,38.16666667,Edmonton
2014,27.1025,Edmonton
2015,24.90083333,Edmonton
2016,40.5525,Edmonton
2017,33.115,Edmonton
2018,32.22,Edmonton
2019,36.01833333,Edmonton
2020,41.22416667,Edmonton
2021,24.17416667,Edmonton
2022,30.5575,Edmonton
2023,35.075,Edmonton
2024,30.18,Edmonton
2012,33.47916667,Flagstaff County
2013,26.21416667,Flagstaff County
2014,29.95083333,Flagstaff County
2015,30.05916667,Flagstaff County
2016,36.8025,Flagstaff County
2017,29.28166667,Flagstaff County
2018,26.88916667,Flagstaff County
2019,30.9875,Flagstaff County
2020,33.0625,Flagstaff County
2021,21.70166667,Flagstaff County
2022,30.07,Flagstaff County
2023,26.18,Flagstaff County
2024,27.77166667,Flagstaff County
2012,40.95,Fort Saskatchewan
2013,38.86833333,Fort Saskatchewan
2014,31.53666667,Fort Saskatchewan
2015,28.51166667,Fort Saskatchewan
2016,39.84333333,Fort Saskatchewan
2017,33.01416667,Fort Saskatchewan
2018,32.785,Fort Saskatchewan
2019,39.67833333,Fort Saskatchewan
2020,41.94833333,Fort Saskatchewan
2021,26.00083333,Fort Saskatchewan
2022,32.14916667,Fort Saskatchewan
2023,31.92666667,Fort Saskatchewan
2024,33.38166667,Fort Saskatchewan
2012,55.79416667,I.D. No.  9 Banff
2013,69.83166667,I.D. No.  9 Banff
2014,57.42833333,I.D. No.  9 Banff
2015,43.44,I.D. No.  9 Banff
2016,43.39166667,I.D. No.  9 Banff
2017,44.32916667,I.D. No.  9 Banff
2018,49.24166667,I.D. No.  9 Banff
2019,61.29,I.D. No.  9 Banff
2020,46.04416667,I.D. No.  9 Banff
2021,41.61833333,I.D. No.  9 Banff
2022,40.79833333,I.D. No.  9 Banff
2023,38.83916667,I.D. No.  9 Banff
2024,71.49666667,I.D. No.  9 Banff
2012,65.03083333,I.D. No. 12 Jasper
2013,55.21916667,I.D. No. 12 Jasper
2014,44.67,I.D. No. 12 Jasper
2015,43.36,I.D. No. 12 Jasper
2016,49.9625,I.D. No. 12 Jasper
2017,42.32166667,I.D. No. 12 Jasper
2018,37.2875,I.D. No. 12 Jasper
2019,51.9225,I.D. No. 12 Jasper
2020,43.07416667,I.D. No. 12 Jasper
2021,37.8875,I.D. No. 12 Jasper
2022,37.27916667,I.D. No. 12 Jasper
2023,42.51916667,I.D. No. 12 Jasper
2024,31.98833333,I.D. No. 12 Jasper
2012,46.325,I.D. No. 13 Elk Island
2013,38.28666667,I.D. No. 13 Elk Island
2014,37.26666667,I.D. No. 13 Elk Island
2015,34.16166667,I.D. No. 13 Elk Island
2016,50.85,I.D. No. 13 Elk Island
2017,36.70666667,I.D. No. 13 Elk Island
2018,32.0225,I.D. No. 13 Elk Island
2019,46.4125,I.D. No. 13 Elk Island
2020,45.43333333,I.D. No. 13 Elk Island
2021,26.7,I.D. No. 13 Elk Island
2022,33.155,I.D. No. 13 Elk Island
2023,33.19666667,I.D. No. 13 Elk Island
2024,38.93,I.D. No. 13 Elk Island
2012,20.85833333,I.D. No. 24 Wood Buffalo
2013,37.84333333,I.D. No. 24 Wood Buffalo
2014,25.48083333,I.D. No. 24 Wood Buffalo
2015,24.74416667,I.D. No. 24 Wood Buffalo
2016,38.76083333,I.D. No. 24 Wood Buffalo
2017,28.16416667,I.D. No. 24 Wood Buffalo
2018,33.625,I.D. No. 24 Wood Buffalo
2019,31.07916667,I.D. No. 24 Wood Buffalo
2020,49.60083333,I.D. No. 24 Wood Buffalo
2021,32.99333333,I.D. No. 24 Wood Buffalo
2022,24.72583333,I.D. No. 24 Wood Buffalo
2023,16.93666667,I.D. No. 24 Wood Buffalo
2024,25.54,I.D. No. 24 Wood Buffalo
2012,66.26166667,I.D. No. 25 Willmore Wilderness
2013,58.58416667,I.D. No. 25 Willmore Wilderness
2014,43.71333333,I.D. No. 25 Willmore Wilderness
2015,41.415,I.D. No. 25 Willmore Wilderness
2016,53.41666667,I.D. No. 25 Willmore Wilderness
2017,54.97166667,I.D. No. 25 Willmore Wilderness
2018,43.675,I.D. No. 25 Willmore Wilderness
2019,62.77833333,I.D. No. 25 Willmore Wilderness
2020,35.77916667,I.D. No. 25 Willmore Wilderness
2021,44.31666667,I.D. No. 25 Willmore Wilderness
2022,54.55083333,I.D. No. 25 Willmore Wilderness
2023,49.17916667,I.D. No. 25 Willmore Wilderness
2024,38.14,I.D. No. 25 Willmore Wilderness
2012,37.18166667,I.D. No. 349
2013,39.8225,I.D. No. 349
2014,40.07,I.D. No. 349
2015,32.56416667,I.D. No. 349
2016,44.15583333,I.D. No. 349
2017,45.3075,I.D. No. 349
2018,35.30666667,I.D. No. 349
2019,36.07666667,I.D. No. 349
2020,42.01666667,I.D. No. 349
2021,33.1875,I.D. No. 349
2022,37.21083333,I.D. No. 349
2023,30.49916667,I.D. No. 349
2024,37.85,I.D. No. 349
2012,62.06666667,I.D. No. 4 Waterton
2013,59.94666667,I.D. No. 4 Waterton
2014,74.74333333,I.D. No. 4 Waterton
2015,52.67666667,I.D. No. 4 Waterton
2016,54.985,I.D. No. 4 Waterton
2017,67.20666667,I.D. No. 4 Waterton
2018,64.195,I.D. No. 4 Waterton
2019,66.75,I.D. No. 4 Waterton
2020,62.45333333,I.D. No. 4 Waterton
2021,67.54666667,I.D. No. 4 Waterton
2022,66.862,I.D. No. 4 Waterton
2012,68.35333333,Kananaskis I.D.
2013,81.01333333,Kananaskis I.D.
2014,66.19666667,Kananaskis I.D.
2015,52.34666667,Kananaskis I.D.
2016,48.95,Kananaskis I.D.
2017,50.1175,Kananaskis I.D.
2018,53.1625,Kananaskis I.D.
2019,68.53833333,Kananaskis I.D.
2020,52.6375,Kananaskis I.D.
2021,53.63583333,Kananaskis I.D.
2022,54.00916667,Kananaskis I.D.
2023,44.61833333,Kananaskis I.D.
2024,76.38,Kananaskis I.D.
2012,34.705,Kneehill County
2013,31.77083333,Kneehill County
2014,34.73416667,Kneehill County
2015,32.935,Kneehill County
2016,35.7575,Kneehill County
2017,28.47,Kneehill County
2018,27.09916667,Kneehill County
2019,30.06333333,Kneehill County
2020,37.14,Kneehill County
2021,21.4475,Kneehill County
2022,28.30666667,Kneehill County
2023,21.10666667,Kneehill County
2024,30.40833333,Kneehill County
2012,39.08,Lac La Biche County
2013,44.16333333,Lac La Biche County
2014,39.47583333,Lac La Biche County
2015,34.0325,Lac La Biche County
2016,48.87916667,Lac La Biche County
2017,41.37833333,Lac La Biche County
2018,35.20583333,Lac La Biche County
2019,38.24416667,Lac La Biche County
2020,48.31416667,Lac La Biche County
2021,30.69166667,Lac La Biche County
2022,38.9075,Lac La Biche County
2023,38.51916667,Lac La Biche County
2024,38.125,Lac La Biche County
2012,42.54333333,Lac Ste. Anne County
2013,36.13583333,Lac Ste. Anne County
2014,30.7275,Lac Ste. Anne County
2015,27.8125,Lac Ste. Anne County
2016,45.01416667,Lac Ste. Anne County
2017,41.95833333,Lac Ste. Anne County
2018,35.8575,Lac Ste. Anne County
2019,45.04166667,Lac Ste. Anne County
2020,37.84083333,Lac Ste. Anne County
2021,28.22833333,Lac Ste. Anne County
2022,32.39166667,Lac Ste. Anne County
2023,37.91,Lac Ste. Anne County
2024,29.13,Lac Ste. Anne County
2012,36.97916667,Lacombe County
2013,38.44416667,Lacombe County
2014,31.76083333,Lacombe County
2015,35.86333333,Lacombe County
2016,41.30583333,Lacombe County
2017,30.7,Lacombe County
2018,31.61083333,Lacombe County
2019,33.3925,Lacombe County
2020,40.24916667,Lacombe County
2021,28.085,Lacombe County
2022,34.47,Lacombe County
2023,27.6425,Lacombe County
2024,28.97666667,Lacombe County
2012,38.07083333,Lamont County
2013,31.49,Lamont County
2014,34.83083333,Lamont County
2015,29.98583333,Lamont County
2016,43.88666667,Lamont County
2017,36.58916667,Lamont County
2018,31.735,Lamont County
2019,38.80666667,Lamont County
2020,41.06666667,Lamont County
2021,24.47,Lamont County
2022,31.075,Lamont County
2023,31.23583333,Lamont County
2024,34.93333333,Lamont County
2012,42.48916667,Leduc County
2013,36.28583333,Leduc County
2014,32.00666667,Leduc County
2015,29.63833333,Leduc County
2016,44.49583333,Leduc County
2017,37.61333333,Leduc County
2018,33.53833333,Leduc County
2019,40.4375,Leduc County
2020,44.18166667,Leduc County
2021,29.73333333,Leduc County
2022,33.99166667,Leduc County
2023,35.1,Leduc County
2024,28.40166667,Leduc County
2012,26.97833333,M.D. of Acadia No. 34
2013,23.8775,M.D. of Acadia No. 35
2014,29.49833333,M.D. of Acadia No. 36
2015,23.3075,M.D. of Acadia No. 37
2016,37.52666667,M.D. of Acadia No. 38
2017,22.55,M.D. of Acadia No. 39
2018,25.17416667,M.D. of Acadia No. 40
2019,21.18333333,M.D. of Acadia No. 41
2020,19.12416667,M.D. of Acadia No. 42
2021,14.52583333,M.D. of Acadia No. 43
2022,19.8075,M.D. of Acadia No. 44
2023,13.1625,M.D. of Acadia No. 45
2024,32.40166667,M.D. of Acadia No. 46
2012,53.45166667,M.D. of Big Lakes
2013,55.57416667,M.D. of Big Lakes
2014,38.02666667,M.D. of Big Lakes
2015,38.4525,M.D. of Big Lakes
2016,57.73916667,M.D. of Big Lakes
2017,50.60916667,M.D. of Big Lakes
2018,50.17666667,M.D. of Big Lakes
2019,50.3675,M.D. of Big Lakes
2020,48.34916667,M.D. of Big Lakes
2021,39.6425,M.D. of Big Lakes
2022,42.48333333,M.D. of Big Lakes
2023,41.42916667,M.D. of Big Lakes
2024,44.73666667,M.D. of Big Lakes
2012,50.64833333,M.D. of Bighorn No. 8
2013,63.87,M.D. of Bighorn No. 8
2014,53.58333333,M.D. of Bighorn No. 8
2015,40.01833333,M.D. of Bighorn No. 8
2016,47.0775,M.D. of Bighorn No. 8
2017,39.69666667,M.D. of Bighorn No. 8
2018,46.56833333,M.D. of Bighorn No. 8
2019,56.9725,M.D. of Bighorn No. 8
2020,45.1025,M.D. of Bighorn No. 8
2021,37.655,M.D. of Bighorn No. 8
2022,39.72333333,M.D. of Bighorn No. 8
2023,38.6425,M.D. of Bighorn No. 8
2024,59.65166667,M.D. of Bighorn No. 8
2012,38.72083333,M.D. of Bonnyville No. 87
2013,29.1625,M.D. of Bonnyville No. 87
2014,34.96666667,M.D. of Bonnyville No. 87
2015,30.7875,M.D. of Bonnyville No. 87
2016,38.43083333,M.D. of Bonnyville No. 87
2017,41.82083333,M.D. of Bonnyville No. 87
2018,34.29916667,M.D. of Bonnyville No. 87
2019,34.25166667,M.D. of Bonnyville No. 87
2020,34.79333333,M.D. of Bonnyville No. 87
2021,25.07833333,M.D. of Bonnyville No. 87
2022,31.41166667,M.D. of Bonnyville No. 87
2023,28.17416667,M.D. of Bonnyville No. 87
2024,30.06,M.D. of Bonnyville No. 87
2012,34.52333333,M.D. of Fairview No. 136
2013,35.60833333,M.D. of Fairview No. 136
2014,23.805,M.D. of Fairview No. 136
2015,27.4575,M.D. of Fairview No. 136
2016,42.3625,M.D. of Fairview No. 136
2017,28.52583333,M.D. of Fairview No. 136
2018,32.515,M.D. of Fairview No. 136
2019,28.09333333,M.D. of Fairview No. 136
2020,34.39916667,M.D. of Fairview No. 136
2021,24.13583333,M.D. of Fairview No. 136
2022,29.84083333,M.D. of Fairview No. 136
2023,25.79916667,M.D. of Fairview No. 136
2024,28.29833333,M.D. of Fairview No. 136
2012,40.35833333,M.D. of Foothills No. 31
2013,45.2975,M.D. of Foothills No. 31
2014,40.20916667,M.D. of Foothills No. 31
2015,35.44166667,M.D. of Foothills No. 31
2016,35.04666667,M.D. of Foothills No. 31
2017,28.935,M.D. of Foothills No. 31
2018,30.22166667,M.D. of Foothills No. 31
2019,39.39916667,M.D. of Foothills No. 31
2020,30.295,M.D. of Foothills No. 31
2021,28.32416667,M.D. of Foothills No. 31
2022,31.51416667,M.D. of Foothills No. 31
2023,26.62916667,M.D. of Foothills No. 31
2024,49.945,M.D. of Foothills No. 31
2012,55.60166667,M.D. of Greenview No. 16
2013,53.87666667,M.D. of Greenview No. 16
2014,36.385,M.D. of Greenview No. 16
2015,43.63083333,M.D. of Greenview No. 16
2016,58.44666667,M.D. of Greenview No. 16
2017,57.50583333,M.D. of Greenview No. 16
2018,48.80416667,M.D. of Greenview No. 16
2019,59.57666667,M.D. of Greenview No. 16
2020,46.37083333,M.D. of Greenview No. 16
2021,40.66166667,M.D. of Greenview No. 16
2022,45.07333333,M.D. of Greenview No. 16
2023,51.21833333,M.D. of Greenview No. 16
2024,38.47166667,M.D. of Greenview No. 16
2012,46.50583333,M.D. of Lesser Slave River No. 124
2013,50.3025,M.D. of Lesser Slave River No. 124
2014,34.64833333,M.D. of Lesser Slave River No. 124
2015,34.83833333,M.D. of Lesser Slave River No. 124
2016,54.16916667,M.D. of Lesser Slave River No. 124
2017,47.03833333,M.D. of Lesser Slave River No. 124
2018,41.72833333,M.D. of Lesser Slave River No. 124
2019,44.34166667,M.D. of Lesser Slave River No. 124
2020,43.49083333,M.D. of Lesser Slave River No. 124
2021,34.53416667,M.D. of Lesser Slave River No. 124
2022,37.09833333,M.D. of Lesser Slave River No. 124
2023,41.49833333,M.D. of Lesser Slave River No. 124
2024,44.41333333,M.D. of Lesser Slave River No. 124
2012,41.23166667,M.D. of Opportunity No. 17
2013,44.84833333,M.D. of Opportunity No. 17
2014,33.00083333,M.D. of Opportunity No. 17
2015,29.97666667,M.D. of Opportunity No. 17
2016,45.08666667,M.D. of Opportunity No. 17
2017,33.19083333,M.D. of Opportunity No. 17
2018,36.93,M.D. of Opportunity No. 17
2019,36.615,M.D. of Opportunity No. 17
2020,49.5725,M.D. of Opportunity No. 17
2021,28.06333333,M.D. of Opportunity No. 17
2022,36.48166667,M.D. of Opportunity No. 17
2023,33.85666667,M.D. of Opportunity No. 17
2024,45.73166667,M.D. of Opportunity No. 17
2012,32.63,M.D. of Peace No. 135
2013,33.97083333,M.D. of Peace No. 136
2014,23.655,M.D. of Peace No. 137
2015,27.345,M.D. of Peace No. 138
2016,43.28833333,M.D. of Peace No. 139
2017,25.5425,M.D. of Peace No. 140
2018,29.0125,M.D. of Peace No. 141
2019,29.0475,M.D. of Peace No. 142
2020,32.68,M.D. of Peace No. 143
2021,21.95583333,M.D. of Peace No. 144
2022,28.79416667,M.D. of Peace No. 145
2023,24.21916667,M.D. of Peace No. 146
2024,30.995,M.D. of Peace No. 147
2012,54.15,M.D. of Pincher Creek No. 9
2013,61.79583333,M.D. of Pincher Creek No. 9
2014,65.7625,M.D. of Pincher Creek No. 9
2015,46.91333333,M.D. of Pincher Creek No. 9
2016,50.42666667,M.D. of Pincher Creek No. 9
2017,52.32333333,M.D. of Pincher Creek No. 9
2018,44.61916667,M.D. of Pincher Creek No. 9
2019,59.22166667,M.D. of Pincher Creek No. 9
2020,49.35583333,M.D. of Pincher Creek No. 9
2021,48.11583333,M.D. of Pincher Creek No. 9
2022,46.99333333,M.D. of Pincher Creek No. 9
2023,39.19666667,M.D. of Pincher Creek No. 9
2024,52.59166667,M.D. of Pincher Creek No. 9
2012,38.39916667,M.D. of Provost No. 52
2013,24.8125,M.D. of Provost No. 52
2014,32.59333333,M.D. of Provost No. 52
2015,28.505,M.D. of Provost No. 52
2016,34.57333333,M.D. of Provost No. 52
2017,34.625,M.D. of Provost No. 52
2018,26.49833333,M.D. of Provost No. 52
2019,26.14166667,M.D. of Provost No. 52
2020,33.39666667,M.D. of Provost No. 52
2021,18.81083333,M.D. of Provost No. 52
2022,30.3725,M.D. of Provost No. 52
2023,19.36416667,M.D. of Provost No. 52
2024,38.805,M.D. of Provost No. 52
2012,57.67916667,M.D. of Ranchland No. 66
2013,68.005,M.D. of Ranchland No. 66
2014,64.31,M.D. of Ranchland No. 66
2015,47.41083333,M.D. of Ranchland No. 66
2016,45.82666667,M.D. of Ranchland No. 66
2017,49.395,M.D. of Ranchland No. 66
2018,45.40333333,M.D. of Ranchland No. 66
