name,date,m,y,value
Athabasca County,2012-01,1,2012,18.83
Athabasca County,2012-02,2,2012,9.59
Athabasca County,2012-03,3,2012,15.03
Athabasca County,2012-04,4,2012,41.67
Athabasca County,2012-05,5,2012,46.44
Athabasca County,2012-06,6,2012,37.02
Athabasca County,2012-07,7,2012,117.02
Athabasca County,2012-08,8,2012,55.94
Athabasca County,2012-09,9,2012,25.01
Athabasca County,2012-10,10,2012,30.46
Athabasca County,2012-11,11,2012,24.14
Athabasca County,2012-12,12,2012,12.81
Athabasca County,2013-01,1,2013,28.45
Athabasca County,2013-02,2,2013,15.96
Athabasca County,2013-03,3,2013,18.49
Athabasca County,2013-04,4,2013,28.16
Athabasca County,2013-05,5,2013,19.64
Athabasca County,2013-06,6,2013,81.52
Athabasca County,2013-07,7,2013,102.47
Athabasca County,2013-08,8,2013,44.24
Athabasca County,2013-09,9,2013,10
Athabasca County,2013-10,10,2013,29.18
Athabasca County,2013-11,11,2013,19.61
Athabasca County,2013-12,12,2013,39.2
Athabasca County,2014-01,1,2014,12.03
Athabasca County,2014-02,2,2014,10.26
Athabasca County,2014-03,3,2014,2.31
Athabasca County,2014-04,4,2014,44.78
Athabasca County,2014-05,5,2014,41.81
Athabasca County,2014-06,6,2014,87.89
Athabasca County,2014-07,7,2014,67.49
Athabasca County,2014-08,8,2014,25.16
Athabasca County,2014-09,9,2014,35.76
Athabasca County,2014-10,10,2014,12.78
Athabasca County,2014-11,11,2014,39.67
Athabasca County,2014-12,12,2014,6.29
Athabasca County,2015-01,1,2015,19.59
Athabasca County,2015-02,2,2015,20.84
Athabasca County,2015-03,3,2015,19.22
Athabasca County,2015-04,4,2015,23.78
Athabasca County,2015-05,5,2015,20.61
Athabasca County,2015-06,6,2015,29.65
Athabasca County,2015-07,7,2015,67.72
Athabasca County,2015-08,8,2015,40.57
Athabasca County,2015-09,9,2015,34.87
Athabasca County,2015-10,10,2015,19.13
Athabasca County,2015-11,11,2015,12.89
Athabasca County,2015-12,12,2015,8.84
Athabasca County,2016-01,1,2016,20.81
Athabasca County,2016-02,2,2016,14.7
Athabasca County,2016-03,3,2016,24.74
Athabasca County,2016-04,4,2016,25.74
Athabasca County,2016-05,5,2016,73.78
Athabasca County,2016-06,6,2016,104.82
Athabasca County,2016-07,7,2016,71.4
Athabasca County,2016-08,8,2016,75.69
Athabasca County,2016-09,9,2016,29.4
Athabasca County,2016-10,10,2016,61.46
Athabasca County,2016-11,11,2016,5.09
Athabasca County,2016-12,12,2016,8.92
Athabasca County,2017-01,1,2017,5.38
Athabasca County,2017-02,2,2017,6.89
Athabasca County,2017-03,3,2017,13.21
Athabasca County,2017-04,4,2017,58.19
Athabasca County,2017-05,5,2017,44.21
Athabasca County,2017-06,6,2017,84.02
Athabasca County,2017-07,7,2017,162.61
Athabasca County,2017-08,8,2017,44.21
Athabasca County,2017-09,9,2017,39.04
Athabasca County,2017-10,10,2017,49.57
Athabasca County,2017-11,11,2017,17.05
Athabasca County,2017-12,12,2017,1.66
Athabasca County,2018-01,1,2018,17
Athabasca County,2018-02,2,2018,8.75
Athabasca County,2018-03,3,2018,17.65
Athabasca County,2018-04,4,2018,19.44
Athabasca County,2018-05,5,2018,15.05
Athabasca County,2018-06,6,2018,117.59
Athabasca County,2018-07,7,2018,62.85
Athabasca County,2018-08,8,2018,42.65
Athabasca County,2018-09,9,2018,31.79
Athabasca County,2018-10,10,2018,24.35
Athabasca County,2018-11,11,2018,18.35
Athabasca County,2018-12,12,2018,26.75
Athabasca County,2019-01,1,2019,17.26
Athabasca County,2019-02,2,2019,17.49
Athabasca County,2019-03,3,2019,0.63
Athabasca County,2019-04,4,2019,14.48
Athabasca County,2019-05,5,2019,6.36
Athabasca County,2019-06,6,2019,117.58
Athabasca County,2019-07,7,2019,136.9
Athabasca County,2019-08,8,2019,55.66
Athabasca County,2019-09,9,2019,43.54
Athabasca County,2019-10,10,2019,31.44
Athabasca County,2019-11,11,2019,22.48
Athabasca County,2019-12,12,2019,10.34
Athabasca County,2020-01,1,2020,14.29
Athabasca County,2020-02,2,2020,17.4
Athabasca County,2020-03,3,2020,19.49
Athabasca County,2020-04,4,2020,6.08
Athabasca County,2020-05,5,2020,68.81
Athabasca County,2020-06,6,2020,148.62
Athabasca County,2020-07,7,2020,87.58
Athabasca County,2020-08,8,2020,74.63
Athabasca County,2020-09,9,2020,16
Athabasca County,2020-10,10,2020,31.44
Athabasca County,2020-11,11,2020,19.5
Athabasca County,2020-12,12,2020,5.89
Athabasca County,2021-01,1,2021,15.43
Athabasca County,2021-02,2,2021,13.6
Athabasca County,2021-03,3,2021,6.58
Athabasca County,2021-04,4,2021,13.37
Athabasca County,2021-05,5,2021,59.68
Athabasca County,2021-06,6,2021,37.73
Athabasca County,2021-07,7,2021,36.48
Athabasca County,2021-08,8,2021,39
Athabasca County,2021-09,9,2021,17.94
Athabasca County,2021-10,10,2021,17.81
Athabasca County,2021-11,11,2021,16.63
Athabasca County,2021-12,12,2021,22.58
Athabasca County,2022-01,1,2022,32.91
Athabasca County,2022-02,2,2022,27.7
Athabasca County,2022-03,3,2022,18.68
Athabasca County,2022-04,4,2022,20.83
Athabasca County,2022-05,5,2022,54.49
Athabasca County,2022-06,6,2022,94.07
Athabasca County,2022-07,7,2022,44.75
Athabasca County,2022-08,8,2022,72.38
Athabasca County,2022-09,9,2022,14.06
Athabasca County,2022-10,10,2022,6.4
Athabasca County,2022-11,11,2022,16.67
Athabasca County,2022-12,12,2022,25.75
Athabasca County,2023-01,1,2023,7.79
Athabasca County,2023-02,2,2023,10.73
Athabasca County,2023-03,3,2023,7.98
Athabasca County,2023-04,4,2023,12.48
Athabasca County,2023-05,5,2023,54.19
Athabasca County,2023-06,6,2023,114.96
Athabasca County,2023-07,7,2023,155.31
Athabasca County,2023-08,8,2023,101.98
Athabasca County,2023-09,9,2023,9.22
Athabasca County,2023-10,10,2023,10.14
Athabasca County,2023-11,11,2023,1.8
Athabasca County,2023-12,12,2023,2.02
Athabasca County,2024-01,1,2024,7.36
Athabasca County,2024-02,2,2024,7.69
Athabasca County,2024-03,3,2024,6.8
Athabasca County,2024-04,4,2024,35.77
Athabasca County,2024-05,5,2024,60.22
Athabasca County,2024-06,6,2024,67.78
Beaver County,2012-01,1,2012,5.15
Beaver County,2012-02,2,2012,6.17
Beaver County,2012-03,3,2012,16.88
Beaver County,2012-04,4,2012,38.09
Beaver County,2012-05,5,2012,57.15
Beaver County,2012-06,6,2012,57.97
Beaver County,2012-07,7,2012,103.48
Beaver County,2012-08,8,2012,69.22
Beaver County,2012-09,9,2012,9.43
Beaver County,2012-10,10,2012,19.15
Beaver County,2012-11,11,2012,17.15
Beaver County,2012-12,12,2012,14.31
Beaver County,2013-01,1,2013,14.91
Beaver County,2013-02,2,2013,6.33
Beaver County,2013-03,3,2013,13.03
Beaver County,2013-04,4,2013,23.74
Beaver County,2013-05,5,2013,21.89
Beaver County,2013-06,6,2013,82.82
Beaver County,2013-07,7,2013,65.96
Beaver County,2013-08,8,2013,49.57
Beaver County,2013-09,9,2013,4.4
Beaver County,2013-10,10,2013,8.13
Beaver County,2013-11,11,2013,20.78
Beaver County,2013-12,12,2013,20.07
Beaver County,2014-01,1,2014,4.69
Beaver County,2014-02,2,2014,4.72
Beaver County,2014-03,3,2014,8.31
Beaver County,2014-04,4,2014,34.97
Beaver County,2014-05,5,2014,37
Beaver County,2014-06,6,2014,87.38
Beaver County,2014-07,7,2014,97.79
Beaver County,2014-08,8,2014,25.09
Beaver County,2014-09,9,2014,33.25
Beaver County,2014-10,10,2014,8.22
Beaver County,2014-11,11,2014,26.53
Beaver County,2014-12,12,2014,3.54
Beaver County,2015-01,1,2015,11.19
Beaver County,2015-02,2,2015,20.77
Beaver County,2015-03,3,2015,28.07
Beaver County,2015-04,4,2015,11.56
Beaver County,2015-05,5,2015,13.95
Beaver County,2015-06,6,2015,30.61
Beaver County,2015-07,7,2015,90.59
Beaver County,2015-08,8,2015,39.7
Beaver County,2015-09,9,2015,72.82
Beaver County,2015-10,10,2015,15.33
Beaver County,2015-11,11,2015,9.74
Beaver County,2015-12,12,2015,4.86
Beaver County,2016-01,1,2016,13.46
Beaver County,2016-02,2,2016,6.76
Beaver County,2016-03,3,2016,17.97
Beaver County,2016-04,4,2016,17.63
Beaver County,2016-05,5,2016,111
Beaver County,2016-06,6,2016,88.68
Beaver County,2016-07,7,2016,91.55
Beaver County,2016-08,8,2016,50.06
Beaver County,2016-09,9,2016,25.93
Beaver County,2016-10,10,2016,41.92
Beaver County,2016-11,11,2016,15.83
Beaver County,2016-12,12,2016,8.63
Beaver County,2017-01,1,2017,8.35
Beaver County,2017-02,2,2017,10.27
Beaver County,2017-03,3,2017,22.49
Beaver County,2017-04,4,2017,56.77
Beaver County,2017-05,5,2017,45
Beaver County,2017-06,6,2017,99.64
Beaver County,2017-07,7,2017,56.83
Beaver County,2017-08,8,2017,35.75
Beaver County,2017-09,9,2017,32.22
Beaver County,2017-10,10,2017,35.47
Beaver County,2017-11,11,2017,13.24
Beaver County,2017-12,12,2017,1.37
Beaver County,2018-01,1,2018,11.33
Beaver County,2018-02,2,2018,9.3
Beaver County,2018-03,3,2018,15.06
Beaver County,2018-04,4,2018,13.15
Beaver County,2018-05,5,2018,19.69
Beaver County,2018-06,6,2018,48.12
Beaver County,2018-07,7,2018,65.56
Beaver County,2018-08,8,2018,28.69
Beaver County,2018-09,9,2018,56.41
Beaver County,2018-10,10,2018,19.5
Beaver County,2018-11,11,2018,15.31
Beaver County,2018-12,12,2018,15.36
Beaver County,2019-01,1,2019,8.97
Beaver County,2019-02,2,2019,12.11
Beaver County,2019-03,3,2019,3.37
Beaver County,2019-04,4,2019,11.43
Beaver County,2019-05,5,2019,24.46
Beaver County,2019-06,6,2019,115.97
Beaver County,2019-07,7,2019,115.67
Beaver County,2019-08,8,2019,53.24
Beaver County,2019-09,9,2019,44.33
Beaver County,2019-10,10,2019,14.47
Beaver County,2019-11,11,2019,15.25
Beaver County,2019-12,12,2019,10.97
Beaver County,2020-01,1,2020,12.14
Beaver County,2020-02,2,2020,13.75
Beaver County,2020-03,3,2020,13.96
Beaver County,2020-04,4,2020,4.7
Beaver County,2020-05,5,2020,64.89
