Date,Value,Territory
2024-07-27,26,K2-06
2024-08-20,22.66666667,K2-06
2024-06-22,0.6666666667,K2-08
2024-07-27,9.333333333,K2-08
2024-08-20,18.66666667,K2-08
2024-06-22,0.3333333333,K4-10
2024-07-28,3.333333333,K4-10
2024-08-20,29.66666667,K4-10
2024-06-22,0,K4-02
2024-07-28,1.333333333,K4-02
2024-08-20,48.66666667,K4-02
2024-06-22,0,K4-04
2024-07-28,9.333333333,K4-04
2024-08-20,37.33333333,K4-04
2024-06-22,1.666666667,K4-06
2024-07-28,0.6666666667,K4-06
2024-08-20,19.66666667,K4-06
2024-06-22,0.6666666667,K4-08
2024-07-28,2.333333333,K4-08
2024-08-20,24.66666667,K4-08
2024-06-23,1,K6-01
2024-06-23,2,K6-10
2024-07-28,22,K6-10
2024-08-22,4.333333333,K6-10
2024-06-23,0.3333333333,K6-08
2024-07-28,11,K6-08
2024-08-22,7.666666667,K6-08
2024-06-23,0.3333333333,K6-06
2024-07-28,2.666666667,K6-06
2024-08-22,9.333333333,K6-06
2024-06-23,0,K6-04
2024-07-28,0.6666666667,K6-04
2024-08-22,12,K6-04
2024-06-23,1.333333333,K5-10
2024-07-28,0.3333333333,K5-10
2024-08-22,4.333333333,K5-10
2024-06-23,7,K5-02
2024-07-28,3.666666667,K5-02
2024-08-22,3,K5-02
2024-06-23,3.666666667,K5-04
2024-07-28,7.666666667,K5-04
2024-08-22,7.333333333,K5-04
2024-06-23,2.666666667,K5-06
2024-07-28,8.333333333,K5-06
2024-08-22,11.33333333,K5-06
2024-06-23,3.333333333,K5-08
2024-06-23,0.3333333333,K6-02
2024-07-28,6.333333333,K6-02
2024-08-22,2.666666667,K6-02
