Date,Value,Territory
2024-06-16,25.33333333,M4-08
2024-07-13,90.66666667,M4-08
2024-08-18,45.33333333,M4-08
2024-06-16,44.66666667,M4-10
2024-07-13,113.3333333,M4-10
2024-08-18,38.66666667,M4-10
2024-06-16,38,M4-12
2024-07-13,123,M4-12
2024-08-18,84.66666667,M4-12
2024-06-16,4.333333333,M4-06
2024-07-13,48,M4-06
2024-08-18,29.33333333,M4-06
2024-06-16,18.33333333,M4-02
2024-07-13,59,M4-02
2024-08-17,39,M4-02
2024-06-16,9,M4-03
2024-06-16,17,M4-04
2024-07-13,108,M4-04
2024-08-18,49,M4-04
2024-06-16,6.333333333,M2-08
2024-07-12,91.33333333,M2-08
2024-08-18,53.66666667,M2-08
2024-06-16,1.333333333,M2-10
2024-07-12,92.66666667,M2-10
2024-08-18,48,M2-10
2024-06-16,0,M2-11
2024-06-16,1.333333333,M2-12
2024-07-12,59.66666667,M2-12
2024-08-18,33.33333333,M2-12
2024-06-16,13.33333333,M2-06
2024-07-12,78,M2-06
2024-08-18,30,M2-06
2024-06-16,21,M2-04
2024-07-12,65.33333333,M2-04
2024-08-18,21.33333333,M2-04
2024-06-16,0.3333333333,M2-02
2024-07-12,67.66666667,M2-02
2024-08-18,13.66666667,M2-02
2024-06-15,60.33333333,M1-05
2024-06-15,40.66666667,M1-04
2024-07-12,92.33333333,M1-04
2024-08-17,33.66666667,M1-04
2024-06-15,44.33333333,M1-03
2024-06-15,40.33333333,M1-02
2024-07-12,124.3333333,M1-02
2024-08-17,28.66666667,M1-02
2024-06-15,38,M1-01
2024-06-15,22.66666667,M1-06
2024-07-12,69,M1-06
2024-07-13,136,M1-06
2024-08-17,18.66666667,M1-06
2024-06-15,38.33333333,M1-07
2024-06-15,46.33333333,M1-08
2024-07-12,77.66666667,M1-08
2024-08-17,39,M1-08
2024-06-15,41.66666667,M1-09
2024-06-15,4.333333333,M1-10
2024-07-12,62,M1-10
2024-08-17,16.33333333,M1-10
2024-06-15,15.66666667,M1-11
2024-06-15,45.33333333,M1-12
2024-07-12,82,M1-12
2024-08-17,38,M1-12
2024-06-17,55,M5-04
2024-07-14,62.66666667,M5-04
2024-08-18,31.33333333,M5-04
2024-06-17,51.33333333,M5-12
2024-07-14,116,M5-12
2024-08-19,29.33333333,M5-12
2024-06-17,34.66666667,M5-10
2024-07-14,118.6666667,M5-10
2024-08-19,18,M5-10
2024-06-17,50,M5-08
2024-07-14,121.6666667,M5-08
2024-08-19,43,M5-08
2024-06-17,65.33333333,M5-06
2024-07-14,129.6666667,M5-06
2024-08-18,62.33333333,M5-06
2024-06-17,76,M5-02
2024-07-14,171,M5-02
2024-08-18,66.66666667,M5-02
2024-06-17,15.33333333,M3-02
2024-07-13,75,M3-02
2024-08-16,16.33333333,M3-02
2024-06-17,33,M3-04
2024-07-13,121,M3-04
2024-08-16,30.66666667,M3-04
2024-06-17,44.66666667,M3-06
2024-07-13,125.6666667,M3-06
2024-08-16,30,M3-06
2024-06-17,65,M3-08
2024-07-13,149,M3-08
2024-08-16,53.66666667,M3-08
2024-06-17,104.3333333,M3-10
2024-07-13,133.6666667,M3-10
2024-08-16,26.33333333,M3-10
2024-06-17,114.6666667,M3-12
2024-07-13,129.6666667,M3-12
2024-08-16,32,M3-12
2024-06-18,5.666666667,M6-06
2024-07-14,122.6666667,M6-06
2024-08-17,4.666666667,M6-06
2024-06-18,22.66666667,M6-12
2024-07-14,160.6666667,M6-12
2024-08-17,2,M6-12
2024-06-18,39,M6-10
2024-07-14,151,M6-10
2024-08-17,54,M6-10
2024-06-18,54.66666667,M6-08
2024-07-14,151.3333333,M6-08
2024-08-17,36.33333333,M6-08
2024-06-18,48.33333333,M6-02
2024-07-14,119,M6-02
2024-08-17,6.333333333,M6-02
2024-06-18,29.33333333,M6-04
2024-07-14,123.6666667,M6-04
2024-08-17,1.666666667,M6-04
2024-06-21,0,K3-05
2024-06-21,0,K3-04
2024-07-29,0.6666666667,K3-04
2024-08-20,16.66666667,K3-04
2024-06-21,0,K3-02
2024-07-29,0,K3-02
2024-08-20,8.333333333,K3-02
2024-06-21,1,K3-10
2024-07-29,7.666666667,K3-10
2024-08-20,17,K3-10
2024-07-29,4.666666667,K3-08
2024-06-21,0.6666666667,K3-06
2024-07-29,1.666666667,K3-06
2024-06-21,0,K1-06
2024-07-27,0.3333333333,K1-06
2024-08-20,7.666666667,K1-06
2024-06-21,0.3333333333,K1-04
2024-07-27,0.3333333333,K1-04
2024-08-20,16,K1-04
2024-06-21,1.333333333,K1-02
2024-07-27,0,K1-02
2024-08-20,13,K1-02
2024-06-21,0,K1-10
2024-07-27,0,K1-10
2024-08-20,29,K1-10
2024-06-21,1.333333333,K1-08
2024-07-27,0,K1-08
2024-08-20,22.66666667,K1-08
2024-06-22,0,K2-10
2024-07-27,0,K2-10
2024-08-20,22,K2-10
2024-06-22,0,K2-02
2024-07-27,0,K2-02
2024-08-20,31.33333333,K2-02
2024-06-22,0,K2-04
2024-07-27,0,K2-04
2024-08-20,18.66666667,K2-04
2024-06-22,0.3333333333,K2-06
