Year,Territory,Value
2012,County of Forty Mile No. 8,1884.033369
2012,County of Warner No. 5,1173.501411
2012,Cardston County,1167.859942
2012,M.D. of Pincher Creek No. 9,1258.761807
2012,M.D. of Willow Creek No. 26,1153.324107
2012,M.D. of Taber,5112.305381
2012,County of Lethbridge,2323.234381
2012,Cypress County,1087.81982
2012,Vulcan County,1119.044088
2012,County of Newell,1121.308043
2012,M.D. of Foothills No. 31,1217.07807
2012,Special Areas 2,854.9508351
2012,Wheatland County,1080.630993
2012,Rocky View County,1097.571264
2012,M.D. of Acadia No. 34,956.3926161
2012,Special Areas 3,758.6113852
2012,Kneehill County,1207.780394
2012,Mountain View County,1237.197907
2012,Starland County,1127.55401
2012,Special Areas 4,746.1844452
2012,Red Deer County,1225.187533
2012,County of Stettler No. 6,1001.802689
2012,County of Paintearth No. 18,810.6613519
2012,M.D. of Provost No. 52,831.9971996
2012,Clearwater County,1060.21522
2012,Lacombe County,1235.849183
2012,Flagstaff County,1114.477235
2012,M.D. of Wainwright No. 61,1016.516209
2012,Camrose County,1256.214262
2012,Ponoka County,1102.479964
2012,County of Wetaskiwin No. 10,1268.800608
2012,County of Vermilion River,977.4396733
2012,Beaver County,998.0015042
2012,Leduc County,1098.878411
2012,County of Minburn No. 27,1058.738522
2012,Parkland County,1116.791992
2012,Lamont County,1112.975233
2012,County of Two Hills No. 21,1049.406603
2012,Strathcona County,1074.840001
2012,Lac Ste. Anne County,807.8349086
2012,Yellowhead County,759.3342518
2012,Sturgeon County,1176.367962
2012,County of St. Paul No. 19,1050.925418
2012,Westlock County,1321.861945
2012,County of Barrhead No. 11,1206.145592
2012,Smoky Lake County,1107.011
2012,County of Thorhild No. 7,1313.855903
2012,M.D. of Bonnyville No. 87,869.9144518
2012,Woodlands County,1032.661269
2012,Athabasca County,877.5178499
2012,M.D. of Lesser Slave River No. 124,969.425535
2012,Lac La Biche County,686.7983288
2012,County of Grande Prairie No. 1,965.8053323
2012,M.D. of Greenview No. 16,736.8264346
2012,M.D. of Big Lakes,873.1544402
2012,M.D. of Smoky River No. 130,1208.216476
2012,Birch Hills County,1130.534356
2012,Saddle Hills County,905.2425753
2012,M.D. of Spirit River No. 133,917.3714706
2012,M.D. of Fairview No. 136,1012.339793
2012,Northern Sunrise County,1043.989014
2012,M.D. of Peace No. 135,801.9935322
2012,Clear Hills County,777.8988795
2012,County of  Northern Lights,694.1844972
2012,Mackenzie County,613.52792
2013,County of Forty Mile No. 8,2020.390426
2013,County of Warner No. 5,1212.638909
2013,Cardston County,1240.759188
2013,M.D. of Pincher Creek No. 9,1410.513539
2013,M.D. of Willow Creek No. 26,1564.121898
2013,M.D. of Taber,5029.659296
2013,County of Lethbridge,2345.465733
2013,Cypress County,1290.24733
2013,Vulcan County,1541.874059
2013,County of Newell,1507.873038
2013,M.D. of Foothills No. 31,1541.359817
2013,Special Areas 2,1436.455389
2013,Wheatland County,1521.871549
2013,Rocky View County,1407.042127
2013,M.D. of Acadia No. 34,1082.967392
2013,Special Areas 3,1042.821632
2013,Kneehill County,1641.71664
2013,Mountain View County,1608.114548
2013,Starland County,1440.629276
2013,Special Areas 4,1029.044344
2013,Red Deer County,1572.19597
2013,County of Stettler No. 6,1392.16478
2013,County of Paintearth No. 18,1024.271313
2013,M.D. of Provost No. 52,1164.515146
2013,Clearwater County,1360.893103
2013,Lacombe County,1548.87731
2013,Flagstaff County,1423.5748
2013,M.D. of Wainwright No. 61,1389.55364
2013,Camrose County,1658.318302
2013,Ponoka County,1568.853806
2013,County of Wetaskiwin No. 10,1732.714773
2013,County of Vermilion River,1466.392764
