Year,Territory,Value
2013,Beaver County,1333.738477
2013,Leduc County,1595.214487
2013,Brazeau County,1253.301363
2013,County of Minburn No. 27,1569.11364
2013,Parkland County,1553.277143
2013,Lamont County,1432.750747
2013,County of Two Hills No. 21,1421.093045
2013,Strathcona County,1405.591004
2013,Lac Ste. Anne County,1276.613322
2013,Yellowhead County,1055.336715
2013,Sturgeon County,1739.543483
2013,County of St. Paul No. 19,1431.935293
2013,Westlock County,1759.819868
2013,County of Barrhead No. 11,1494.021452
2013,Smoky Lake County,1558.252576
2013,County of Thorhild No. 7,1625.776789
2013,M.D. of Bonnyville No. 87,1343.846978
2013,Woodlands County,1419.743094
2013,Athabasca County,1309.374649
2013,M.D. of Lesser Slave River No. 124,1791.004848
2013,Lac La Biche County,1578.544091
2013,County of Grande Prairie No. 1,1264.869299
2013,M.D. of Greenview No. 16,1030.752288
2013,M.D. of Big Lakes,942.5968963
2013,M.D. of Smoky River No. 130,1091.164642
2013,Birch Hills County,1230.885571
2013,Saddle Hills County,1351.855375
2013,M.D. of Spirit River No. 133,1372.808265
2013,M.D. of Fairview No. 136,1199.745218
2013,Northern Sunrise County,1066.24754
2013,M.D. of Peace No. 135,1274.371572
2013,Clear Hills County,1196.730029
2013,County of  Northern Lights,1124.669273
2013,Mackenzie County,1044.646326
2014,County of Forty Mile No. 8,1804.919631
2014,County of Warner No. 5,1019.860891
2014,Cardston County,1250.047647
2014,M.D. of Pincher Creek No. 9,954.7524857
2014,M.D. of Willow Creek No. 26,1253.96974
2014,M.D. of Taber,5627.792334
2014,County of Lethbridge,2596.384165
2014,Cypress County,1170.554735
2014,Vulcan County,1081.004311
2014,County of Newell,1246.928557
2014,M.D. of Foothills No. 31,1224.690716
2014,Special Areas 2,1081.655254
2014,Wheatland County,1022.177145
2014,Rocky View County,1238.680667
2014,M.D. of Acadia No. 34,987.6748784
2014,Special Areas 3,879.7451652
2014,Kneehill County,1218.356694
2014,Mountain View County,1337.079962
2014,Starland County,1071.74356
2014,Special Areas 4,812.7663236
2014,Red Deer County,1323.083959
2014,County of Stettler No. 6,1118.106917
2014,County of Paintearth No. 18,949.7622726
2014,M.D. of Provost No. 52,891.0019226
2014,Clearwater County,1069.87281
2014,Lacombe County,1451.224809
2014,Flagstaff County,1267.519742
2014,M.D. of Wainwright No. 61,1170.974305
2014,Camrose County,1432.509299
2014,Ponoka County,1451.131316
2014,County of Wetaskiwin No. 10,1512.219108
2014,County of Vermilion River,1269.847031
2014,Beaver County,1314.196733
2014,Leduc County,1436.425379
2014,County of Minburn No. 27,1349.226272
2014,Parkland County,1472.73661
2014,Lamont County,1327.932168
2014,County of Two Hills No. 21,1267.574308
2014,Strathcona County,1420.909779
2014,Lac Ste. Anne County,1195.733949
2014,Yellowhead County,776.3288962
2014,Sturgeon County,1596.024551
2014,County of St. Paul No. 19,1153.546714
2014,Westlock County,1579.848482
2014,County of Barrhead No. 11,1482.538728
2014,Smoky Lake County,1291.37077
2014,County of Thorhild No. 7,1498.604636
2014,M.D. of Bonnyville No. 87,995.7106829
2014,Woodlands County,1337.854345
2014,Athabasca County,1020.132202
2014,M.D. of Lesser Slave River No. 124,1450.570445
2014,Lac La Biche County,1326.507825
2014,County of Grande Prairie No. 1,1025.456517
2014,M.D. of Greenview No. 16,850.1111134
2014,M.D. of Big Lakes,846.1967256
2014,M.D. of Smoky River No. 130,1012.296422
2014,Birch Hills County,897.8607569
2014,Saddle Hills County,936.2528148
2014,M.D. of Spirit River No. 133,901.9085403
2014,M.D. of Fairview No. 136,693.1385706
2014,Northern Sunrise County,852.9136968
2014,M.D. of Peace No. 135,734.3462876
2014,Clear Hills County,843.6667636
2014,County of  Northern Lights,656.1561078
2014,Mackenzie County,781.7701223
2015,County of Forty Mile No. 8,1565.900047
2015,County of Warner No. 5,967.2480532
2015,Cardston County,1320.221402
2015,M.D. of Pincher Creek No. 9,1711.685736
2015,M.D. of Willow Creek No. 26,1454.445756
2015,M.D. of Taber,4985.747987
2015,County of Lethbridge,2212.601839
2015,Cypress County,1023.903955
2015,Vulcan County,1120.290006
2015,County of Newell,1177.178609
2015,M.D. of Foothills No. 31,1522.494702
2015,Special Areas 2,1023.405996
2015,Wheatland County,928.0633628
2015,Rocky View County,1318.958544
2015,M.D. of Acadia No. 34,543.122579
2015,Special Areas 3,401.8376372
2015,Kneehill County,1411.365457
2015,Mountain View County,1724.303954
2015,Starland County,1183.394927
2015,Special Areas 4,755.6355811
2015,Red Deer County,1710.694036
2015,County of Stettler No. 6,1173.224679
2015,County of Paintearth No. 18,947.3662053
2015,M.D. of Provost No. 52,897.703476
2015,Clearwater County,1510.893358
2015,Lacombe County,1500.592867
2015,Flagstaff County,1124.139133
2015,M.D. of Wainwright No. 61,966.0284285
2015,Camrose County,1365.484506
2015,Ponoka County,1325.539518
2015,County of Wetaskiwin No. 10,1541.006678
2015,County of Vermilion River,1054.860398
2015,Beaver County,1081.957202
2015,Leduc County,1341.472954
2015,Brazeau County,1098.76236
2015,County of Minburn No. 27,1241.527533
2015,Parkland County,1184.775771
2015,Lamont County,1385.34788
2015,County of Two Hills No. 21,1155.623054
2015,Strathcona County,1457.686841
2015,Lac Ste. Anne County,1193.754589
2015,Yellowhead County,891.9141163
2015,Sturgeon County,1349.290921
2015,County of St. Paul No. 19,1102.458239
2015,Westlock County,1316.685745
2015,County of Barrhead No. 11,1278.670318
2015,Smoky Lake County,1370.781175
2015,County of Thorhild No. 7,1413.455931
2015,M.D. of Bonnyville No. 87,1184.664577
2015,Woodlands County,1393.754151
2015,Athabasca County,1222.359033
2015,M.D. of Lesser Slave River No. 124,1209.434126
2015,Lac La Biche County,872.7426499
2015,County of Grande Prairie No. 1,962.5736745
2015,M.D. of Greenview No. 16,1027.001161
2015,M.D. of Big Lakes,1160.51226
2015,M.D. of Smoky River No. 130,1061.89323
2015,Birch Hills County,1046.721745
2015,Saddle Hills County,1107.541756
2015,M.D. of Spirit River No. 133,1255.64852
2015,M.D. of Fairview No. 136,791.6475605
2015,Northern Sunrise County,936.4016115
2015,M.D. of Peace No. 135,761.629836
2015,Clear Hills County,620.6291727
2015,County of  Northern Lights,573.6889659
2015,Mackenzie County,469.4825673
2016,County of Forty Mile No. 8,2145.402071
2016,County of Warner No. 5,1171.571536
2016,Cardston County,1492.310716
2016,M.D. of Pincher Creek No. 9,1826.636435
2016,M.D. of Willow Creek No. 26,1289.905821
2016,M.D. of Taber,5613.853843
2016,County of Lethbridge,1879.980366
2016,Cypress County,1247.384293
2016,Vulcan County,1177.436697
2016,County of Newell,1303.188809
2016,M.D. of Foothills No. 31,1516.24303
2016,Special Areas 2,1069.050745
2016,Wheatland County,1490.004293
2016,Rocky View County,1437.234202
2016,M.D. of Acadia No. 34,1099.594013
2016,Special Areas 3,954.2295533
2016,Kneehill County,1612.73717
2016,Mountain View County,1820.665007
2016,Starland County,1429.423305
2016,Special Areas 4,1067.960638
2016,Red Deer County,1679.229224
2016,County of Stettler No. 6,1381.667905
2016,County of Paintearth No. 18,1127.733208
2016,M.D. of Provost No. 52,1140.165597
2016,Clearwater County,1400.836745
2016,Lacombe County,1668.4449
2016,Flagstaff County,1403.435134
2016,M.D. of Wainwright No. 61,1325.833287
2016,Camrose County,1435.292961
2016,Ponoka County,1706.654533
2016,County of Wetaskiwin No. 10,1613.276206
2016,County of Vermilion River,1466.113089
2016,Beaver County,1174.846656
2016,Leduc County,1532.858174
2016,County of Minburn No. 27,1363.8277
2016,Parkland County,1804.157626
2016,Lamont County,1359.472604
2016,County of Two Hills No. 21,1269.078646
2016,Strathcona County,1530.565859
2016,Lac Ste. Anne County,1110.779395
2016,Yellowhead County,772.8571284
2016,Sturgeon County,1684.215011
2016,County of St. Paul No. 19,1300.467433
2016,Westlock County,1666.219431
2016,County of Barrhead No. 11,1347.084234
2016,Smoky Lake County,1530.329812
2016,County of Thorhild No. 7,1546.247045
2016,M.D. of Bonnyville No. 87,1255.462101
2016,Woodlands County,1189.570279
2016,Athabasca County,1296.641018
2016,M.D. of Lesser Slave River No. 124,1239.322614
2016,Lac La Biche County,1206.715648
2016,County of Grande Prairie No. 1,1263.042221
2016,M.D. of Greenview No. 16,1123.082416
2016,M.D. of Big Lakes,889.9163627
2016,M.D. of Smoky River No. 130,1256.28648
2016,Birch Hills County,1226.81488
2016,Saddle Hills County,1216.126571
2016,M.D. of Spirit River No. 133,1293.4606
2016,M.D. of Fairview No. 136,1301.98711
2016,Northern Sunrise County,1279.436794
2016,M.D. of Peace No. 135,980.4810202
2016,Clear Hills County,1040.648068
2016,County of  Northern Lights,1100.816272
2016,Mackenzie County,980.3658045
2017,County of Forty Mile No. 8,1506.495725
2017,County of Warner No. 5,745.3227871
2017,Cardston County,908.6548559
2017,M.D. of Pincher Creek No. 9,1144.384476
2017,M.D. of Willow Creek No. 26,925.2182321
2017,M.D. of Taber,5620.949731
2017,County of Lethbridge,2778.283471
2017,Cypress County,1173.960359
2017,Vulcan County,886.2022908
2017,County of Newell,1849.472878
2017,M.D. of Foothills No. 31,1269.790199
2017,Special Areas 2,695.0794666
2017,Wheatland County,1504.474243
2017,Rocky View County,1670.542808
2017,M.D. of Acadia No. 34,876.7055579
2017,Special Areas 3,691.3338064
2017,Kneehill County,1669.726926
2017,Mountain View County,1775.816166
2017,Starland County,1265.396209
2017,Special Areas 4,758.3584103
2017,Red Deer County,1585.537883
2017,County of Stettler No. 6,1181.463393
2017,County of Paintearth No. 18,875.1926507
2017,M.D. of Provost No. 52,1057.645601
2017,Clearwater County,1463.146565
2017,Lacombe County,1633.686892
2017,Flagstaff County,1399.384712
2017,M.D. of Wainwright No. 61,1344.180102
2017,Camrose County,1436.142254
2017,Ponoka County,1396.654934
2017,County of Wetaskiwin No. 10,1434.746267
2017,County of Vermilion River,1427.684677
2017,Beaver County,1185.367409
2017,Leduc County,1456.452318
2017,County of Minburn No. 27,1347.705637
2017,Parkland County,1602.146205
2017,Lamont County,1221.521866
2017,County of Two Hills No. 21,1302.993982
2017,Strathcona County,1589.325932
2017,Lac Ste. Anne County,1087.265778
2017,Yellowhead County,588.6039319
2017,Sturgeon County,1761.156521
2017,County of St. Paul No. 19,1362.315363
2017,Westlock County,1452.01384
2017,County of Barrhead No. 11,1117.993136
2017,Smoky Lake County,1357.016609
2017,County of Thorhild No. 7,1503.252931
2017,M.D. of Bonnyville No. 87,1367.64245
2017,Woodlands County,991.5086736
2017,Athabasca County,1179.418326
2017,M.D. of Lesser Slave River No. 124,746.6928543
2017,Lac La Biche County,772.9925236
2017,County of Grande Prairie No. 1,1037.204404
2017,M.D. of Greenview No. 16,935.0924625
2017,M.D. of Big Lakes,1147.519624
2017,M.D. of Smoky River No. 130,1185.278249
2017,Birch Hills County,1243.060085
2017,Saddle Hills County,1074.848246
2017,M.D. of Spirit River No. 133,1203.006064
2017,M.D. of Fairview No. 136,1210.666922
2017,Northern Sunrise County,1207.74881
2017,M.D. of Peace No. 135,967.3597511
2017,Clear Hills County,1022.742502
2017,County of  Northern Lights,941.5641256
2017,Mackenzie County,951.0979763
2018,County of Forty Mile No. 8,1253.307315
2018,County of Warner No. 5,727.3756106
2018,Cardston County,1087.484564
2018,M.D. of Pincher Creek No. 9,1515.301878
2018,M.D. of Willow Creek No. 26,914.7683938
2018,M.D. of Taber,5457.43921
2018,County of Lethbridge,2816.771074
2018,Cypress County,1145.339422
2018,Vulcan County,789.2843938
2018,County of Newell,1493.467611
2018,M.D. of Foothills No. 31,1004.57226
2018,Special Areas 2,581.470561
2018,Wheatland County,1194.89097
2018,Rocky View County,1332.917988
2018,M.D. of Acadia No. 34,819.8167153
2018,Special Areas 3,896.8752172
2018,Kneehill County,1215.51447
2018,Mountain View County,1710.579844
2018,Starland County,964.5016748
2018,Special Areas 4,945.4272689
2018,Red Deer County,1491.376959
2018,County of Stettler No. 6,1024.608838
2018,County of Paintearth No. 18,878.1785225
2018,M.D. of Provost No. 52,1101.254851
2018,Clearwater County,1485.338017
2018,Lacombe County,1422.2489
2018,Flagstaff County,1123.744084
2018,M.D. of Wainwright No. 61,1254.756625
2018,Camrose County,1304.642936
2018,Ponoka County,1138.371975
2018,County of Wetaskiwin No. 10,1481.719531
2018,County of Vermilion River,1378.427907
2018,Beaver County,1184.314884
2018,Leduc County,1457.783206
2018,Brazeau County,1057.511513
2018,County of Minburn No. 27,1281.974097
2018,Parkland County,1820.119922
2018,Lamont County,1414.212766
2018,County of Two Hills No. 21,1387.601953
2018,Strathcona County,1435.820586
2018,Lac Ste. Anne County,1193.673841
2018,Yellowhead County,1202.703535
2018,Sturgeon County,1632.22845
2018,County of St. Paul No. 19,1457.161632
2018,Westlock County,1502.700387
2018,County of Barrhead No. 11,1381.082949
2018,Smoky Lake County,1542.459875
2018,County of Thorhild No. 7,1508.340775
2018,M.D. of Bonnyville No. 87,1294.2304
2018,Woodlands County,1251.522125
2018,Athabasca County,1106.073719
2018,M.D. of Lesser Slave River No. 124,1165.368466
2018,Lac La Biche County,1023.098749
2018,County of Grande Prairie No. 1,1190.913596
2018,M.D. of Greenview No. 16,1156.94439
2018,M.D. of Big Lakes,849.1897987
2018,M.D. of Smoky River No. 130,1247.63038
2018,Birch Hills County,1377.967636
2018,Saddle Hills County,1295.584775
2018,M.D. of Spirit River No. 133,1391.93673
2018,M.D. of Fairview No. 136,1367.132562
2018,Northern Sunrise County,1381.018207
2018,M.D. of Peace No. 135,1173.401437
2018,Clear Hills County,1036.709444
2018,County of  Northern Lights,926.0001929
2018,Mackenzie County,1091.170777
2019,County of Forty Mile No. 8,1535.106316
2019,County of Warner No. 5,742.6652108
2019,Cardston County,1408.772625
2019,M.D. of Pincher Creek No. 9,1953.198291
2019,M.D. of Willow Creek No. 26,1318.000323
2019,M.D. of Taber,4089.079651
2019,County of Lethbridge,2024.567586
2019,Cypress County,666.3426687
2019,Vulcan County,738.6975842
2019,County of Newell,2179.386207
2019,M.D. of Foothills No. 31,1243.736186
2019,Special Areas 2,1359.785061
2019,Wheatland County,1442.600831
2019,Rocky View County,1663.188128
2019,M.D. of Acadia No. 34,759.1630181
2019,Special Areas 3,841.6337852
2019,Kneehill County,1755.363788
2019,Mountain View County,1736.95836
2019,Starland County,1472.799357
2019,Special Areas 4,914.7526599
2019,Red Deer County,1709.142862
2019,County of Stettler No. 6,1410.170956
2019,County of Paintearth No. 18,1021.094072
2019,M.D. of Provost No. 52,1186.529357
2019,Clearwater County,1550.252903
2019,Lacombe County,1786.628157
2019,Flagstaff County,1514.567061
2019,M.D. of Wainwright No. 61,1324.56806
2019,Camrose County,1599.891202
2019,Ponoka County,1770.497601
2019,County of Wetaskiwin No. 10,1466.895782
2019,County of Vermilion River,1419.764372
2019,Beaver County,1367.275119
2019,Leduc County,1326.837669
2019,County of Minburn No. 27,1435.892541
2019,Parkland County,1855.992623
2019,Lamont County,1244.681329
2019,County of Two Hills No. 21,1342.336079
2019,Strathcona County,1499.96667
2019,Lac Ste. Anne County,845.5649692
2019,Yellowhead County,386.4157216
2019,Sturgeon County,1441.73593
2019,County of St. Paul No. 19,1434.532716
2019,Westlock County,1403.944755
2019,County of Barrhead No. 11,1202.342737
2019,Smoky Lake County,1425.690983
2019,County of Thorhild No. 7,1328.514019
2019,M.D. of Bonnyville No. 87,1387.539324
2019,Woodlands County,852.0819148
2019,Athabasca County,1125.715301
2019,M.D. of Lesser Slave River No. 124,1124.180988
2019,Lac La Biche County,640.4121727
2019,County of Grande Prairie No. 1,1001.033806
2019,M.D. of Greenview No. 16,1668.483793
2019,M.D. of Big Lakes,591.9461843
2019,M.D. of Smoky River No. 130,1201.860149
2019,Birch Hills County,1279.070755
2019,Saddle Hills County,1117.44658
2019,M.D. of Spirit River No. 133,1243.749058
2019,M.D. of Fairview No. 136,1251.336857
2019,Northern Sunrise County,929.1438132
2019,M.D. of Peace No. 135,1027.807365
2019,Clear Hills County,877.4173621
2019,County of  Northern Lights,785.3702756
2019,Mackenzie County,842.9119122
2020,County of Forty Mile No. 8,2199.958039
2020,County of Warner No. 5,1435.995855
2020,Cardston County,1682.479571
2020,M.D. of Pincher Creek No. 9,1771.335108
2020,M.D. of Willow Creek No. 26,1688.151014
2020,M.D. of Taber,7134.928088
2020,County of Lethbridge,3632.740986
2020,Cypress County,1221.86842
2020,Vulcan County,1420.852819
2020,County of Newell,1811.998143
2020,M.D. of Foothills No. 31,1615.820631
2020,Special Areas 2,1073.058664
2020,Wheatland County,1586.758275
2020,Rocky View County,1512.709712
2020,M.D. of Acadia No. 34,580.671776
2020,Special Areas 3,822.5752674
2020,Kneehill County,1469.934281
2020,Mountain View County,1598.986625
2020,Starland County,1410.16532
2020,Special Areas 4,996.5331337
2020,Red Deer County,1495.97612
2020,County of Stettler No. 6,1335.475539
2020,County of Paintearth No. 18,1175.925634
2020,M.D. of Provost No. 52,1164.194437
2020,Clearwater County,1331.470154
2020,Lacombe County,1645.157459
2020,Flagstaff County,1379.314333
2020,M.D. of Wainwright No. 61,1424.382282
2020,Camrose County,1281.941684
2020,Ponoka County,1528.726877
2020,County of Wetaskiwin No. 10,1103.817956
2020,County of Vermilion River,1427.383602
2020,Beaver County,1141.050058
2020,Leduc County,955.5790045
2020,Brazeau County,479.0923077
2020,County of Minburn No. 27,1366.41215
2020,Parkland County,1900.882743
2020,Lamont County,720.0314283
2020,County of Two Hills No. 21,1233.820975
2020,Strathcona County,1086.463331
2020,Lac Ste. Anne County,785.106468
2020,Yellowhead County,349.9741873
2020,Sturgeon County,1106.033321
2020,County of St. Paul No. 19,1363.51821
2020,Westlock County,1061.01506
2020,County of Barrhead No. 11,1064.926781
2020,Smoky Lake County,893.8674359
2020,County of Thorhild No. 7,629.3000406
2020,M.D. of Bonnyville No. 87,995.4817444
2020,Woodlands County,1012.569309
2020,Athabasca County,695.2523397
2020,M.D. of Lesser Slave River No. 124,556.7219078
2020,Lac La Biche County,513.1681244
2020,County of Grande Prairie No. 1,848.7371394
2020,M.D. of Greenview No. 16,663.1199417
2020,M.D. of Big Lakes,472.8735025
2020,M.D. of Smoky River No. 130,850.5500509
2020,Birch Hills County,1249.451616
2020,Saddle Hills County,690.6851032
2020,M.D. of Spirit River No. 133,1005.771392
2020,M.D. of Fairview No. 136,1158.239772
2020,Northern Sunrise County,735.8825074
2020,M.D. of Peace No. 135,1049.77891
2020,Clear Hills County,704.4609247
2020,County of  Northern Lights,711.2098514
2020,Mackenzie County,1261.099102
