Date,Value,Territory
2024-06-23,83.54901961,K6-10
2024-07-28,81.84259259,K6-10
2024-08-22,51,K6-10
2024-09-23,51.82142857,K6-10
2024-06-21,69.74336283,K3-10
2024-07-29,61.4,K3-10
2024-08-20,66.85714286,K3-10
2024-09-22,80.36697248,K3-10
2024-06-21,75.2,K3-08
2024-07-29,68.04587156,K3-08
2024-08-20,75.12149533,K3-08
2024-09-22,90.31531532,K3-08
2024-06-23,99.1588785,K5-04
2024-07-28,77.59793814,K5-04
2024-08-22,46.42857143,K5-04
2024-09-22,50.85964912,K5-04
2024-06-22,75.77391304,K2-10
2024-07-27,34.30588235,K2-10
2024-08-20,68.6635514,K2-10
2024-09-22,59.71428571,K2-10
2024-06-22,107.4018692,K2-02
2024-07-27,40.28409091,K2-02
2024-08-20,79.59793814,K2-02
2024-09-22,98.31623932,K2-02
2024-06-21,84.04807692,K3-06
2024-07-29,75.80582524,K3-06
2024-08-20,82.02884615,K3-06
2024-09-22,95.72807018,K3-06
2024-06-21,81.64150943,K1-02
2024-07-27,51.05797101,K1-02
2024-08-20,63.44329897,K1-02
2024-09-22,75.55855856,K1-02
2024-06-23,78.89565217,K5-10
2024-07-28,47.40566038,K5-10
2024-08-22,39.96,K5-10
2024-09-22,43.60185185,K5-10
2024-06-22,72.60909091,K4-06
2024-07-28,46.03809524,K4-06
2024-08-20,48.51428571,K4-06
2024-09-22,40.24324324,K4-06
2024-06-22,92.58715596,K4-10
2024-07-28,49.76635514,K4-10
2024-08-20,56.22772277,K4-10
2024-09-22,71.14285714,K4-10
2024-06-22,95.51818182,K4-02
2024-07-28,50.04761905,K4-02
2024-08-20,68.85436893,K4-02
2024-09-22,60.73770492,K4-02
2024-06-23,96.19266055,K6-06
2024-07-28,95.06,K6-06
2024-08-22,53.63636364,K6-06
2024-09-23,64.92156863,K6-06
2024-06-23,79.42592593,K5-02
2024-07-28,47.51,K5-02
2024-08-22,37.55555556,K5-02
2024-09-22,42.45217391,K5-02
2024-06-22,86.42201835,K4-08
2024-07-28,41.56164384,K4-08
2024-08-20,50.04854369,K4-08
2024-09-22,58.83928571,K4-08
2024-06-21,100.1946903,K1-04
2024-07-27,75.60194175,K1-04
2024-08-20,73.43809524,K1-04
2024-09-22,93.95238095,K1-04
2024-06-22,108.9313725,K4-04
2024-07-28,58.63716814,K4-04
2024-08-20,61.17142857,K4-04
2024-09-22,72.18852459,K4-04
2024-06-23,76.15151515,K6-08
2024-07-28,71.33018868,K6-08
2024-08-22,41.22727273,K6-08
2024-09-23,35.56074766,K6-08
2024-06-23,78.79487179,K5-06
2024-07-28,57.54368932,K5-06
2024-08-22,49.40366972,K5-06
2024-09-22,59.01769912,K5-06
2024-06-21,92.05172414,K1-06
2024-07-27,85.23529412,K1-06
2024-08-20,67.90566038,K1-06
2024-09-22,90.38596491,K1-06
2024-06-22,83.1372549,K2-04
2024-07-27,56.82474227,K2-04
2024-08-20,61.4245283,K2-04
2024-09-22,80.94782609,K2-04
2024-06-22,88.58119658,K2-08
2024-07-27,52.11111111,K2-08
2024-08-20,53.94230769,K2-08
2024-09-22,57.31034483,K2-08
2024-06-23,96.47222222,K5-08
2024-07-28,54.93269231,K5-08
2024-08-22,45.85526316,K5-08
2024-09-22,51.00884956,K5-08
2024-06-23,122.0090909,K6-02
2024-07-28,126.7378641,K6-02
2024-08-22,64.6952381,K6-02
2024-09-23,71.95283019,K6-02
2024-06-22,80.16814159,K2-06
2024-07-27,46.36585366,K2-06
2024-08-20,62.08,K2-06
2024-09-22,72.57522124,K2-06
2024-06-21,79.41284404,K1-08
2024-07-27,62.75510204,K1-08
2024-08-20,62.45631068,K1-08
2024-09-22,89.60952381,K1-08
2024-06-23,124.1610169,K6-04
2024-07-28,123.2105263,K6-04
2024-08-22,65.17142857,K6-04
2024-09-23,73.75454545,K6-04
2024-06-21,97.36363636,K1-10
2024-07-27,56.03225806,K1-10
2024-08-20,66.12380952,K1-10
2024-09-22,95.25892857,K1-10
2024-06-21,100.9528302,K3-04
2024-07-29,71.90654206,K3-04
2024-08-20,104.5416667,K3-04
2024-09-22,100.1028037,K3-04
2024-06-21,85.58974359,K3-05
2024-06-23,129.0571429,K6-01
2024-06-21,80.85454545,K3-02
2024-07-29,68.89,K3-02
2024-08-20,80.75471698,K3-02
2024-09-22,82.46846847,K3-02
2024-06-18,83.15533981,M6-06
2024-07-14,83.31192661,M6-06
2024-08-17,48.30097087,M6-06
2024-09-21,59.85714286,M6-06
2024-06-18,64.32173913,M6-08
2024-07-14,49.07142857,M6-08
2024-08-17,43.63106796,M6-08
2024-09-21,48.11403509,M6-08
2024-06-15,61.00934579,M1-10
2024-07-12,61.42982456,M1-10
2024-08-17,57.65714286,M1-10
2024-09-20,63.60869565,M1-10
2024-06-15,61.00934579,M1-10
2024-07-12,61.42982456,M1-10
2024-08-17,57.65714286,M1-10
2024-09-20,63.60869565,M1-10
2024-06-15,50.55555556,M1-12
2024-07-12,48.42342342,M1-12
2024-08-17,32.88990826,M1-12
2024-09-20,42.50442478,M1-12
2024-06-16,69.19827586,M4-06
2024-07-13,55.32743363,M4-06
2024-08-18,53.75471698,M4-06
2024-09-21,65.88349515,M4-06
2024-06-16,68.72072072,M2-08
2024-07-12,64.8490566,M2-08
2024-08-18,49.91509434,M2-08
2024-09-20,47.72321429,M2-08
2024-06-16,63.16964286,M2-10
2024-07-12,49.125,M2-10
2024-08-18,40.28571429,M2-10
2024-09-20,38.22033898,M2-10
2024-06-18,68.13043478,M6-02
2024-07-14,60.27522936,M6-02
