Date,Value,Territory
2024-08-17,38.68571429,M6-02
2024-09-21,48.62727273,M6-02
2024-06-18,79.47863248,M6-04
2024-07-14,79.23423423,M6-04
2024-08-17,28.6875,M6-04
2024-09-21,47.15044248,M6-04
2024-06-15,62.078125,M1-11
2024-06-16,60.99107143,M4-08
2024-07-13,44.74107143,M4-08
2024-08-18,47.40909091,M4-08
2024-09-21,51.41904762,M4-08
2024-06-16,55.74528302,M2-12
2024-07-12,51.70754717,M2-12
2024-08-18,42.43396226,M2-12
2024-09-20,27.96721311,M2-12
2024-06-17,62.58064516,M5-10
2024-07-14,69.94642857,M5-10
2024-08-19,56.3627451,M5-10
2024-09-21,45.15929204,M5-10
2024-06-17,67.04587156,M5-06
2024-07-14,50.0462963,M5-06
2024-08-18,47.10526316,M5-06
2024-09-21,38.38938053,M5-06
2024-06-15,67.20560748,M1-07
2024-06-16,58.03333333,M4-10
2024-07-13,50.21008403,M4-10
2024-08-18,40.72380952,M4-10
2024-09-21,55.23148148,M4-10
2024-06-16,67.93043478,M2-06
2024-07-12,44.05982906,M2-06
2024-08-18,45.66071429,M2-06
2024-09-20,48.71559633,M2-06
2024-06-17,56.64957265,M5-02
2024-07-14,54.58474576,M5-02
2024-08-18,49.97169811,M5-02
2024-09-21,39.39473684,M5-02
2024-06-17,63.68965517,M3-12
2024-07-13,63.38095238,M3-12
2024-08-16,53.61320755,M3-12
2024-09-20,33.49514563,M3-12
2024-06-16,57.85,M4-02
2024-07-13,45.79338843,M4-02
2024-08-17,34.43137255,M4-02
2024-09-21,51.9375,M4-02
2024-06-16,103.1081081,M2-11
2024-06-16,64,M4-03
2024-06-16,74.7826087,M2-02
2024-07-12,52.80487805,M2-02
2024-08-18,54.97413793,M2-02
2024-09-20,58.17924528,M2-02
2024-06-16,82.80909091,M2-04
2024-07-12,63.99107143,M2-04
2024-08-18,56.95614035,M2-04
2024-09-20,56.80357143,M2-04
2024-06-17,55.48305085,M5-12
2024-07-14,44.21238938,M5-12
2024-08-19,44.54918033,M5-12
2024-09-21,29.8018018,M5-12
2024-06-15,54.3592233,M1-08
2024-07-12,58.5859375,M1-08
2024-08-17,42.00943396,M1-08
2024-09-20,55.81512605,M1-08
2024-06-15,62.81081081,M1-09
2024-06-15,64.38834951,M1-01
2024-06-15,45.76041667,M1-02
2024-07-12,41.39423077,M1-02
2024-08-17,33.17475728,M1-02
2024-09-20,40.78378378,M1-02
2024-06-15,55.70588235,M1-03
2024-06-15,49.78846154,M1-05
2024-06-15,80.32432432,M1-04
2024-07-12,78.171875,M1-04
2024-08-17,56.94017094,M1-04
2024-09-20,63.09090909,M1-04
2024-06-15,47.99065421,M1-06
2024-07-12,51.7037037,M1-06
2024-07-13,34.44444444,M1-06
2024-08-17,43.98198198,M1-06
2024-09-20,38.42857143,M1-06
2024-06-17,64.05932203,M5-04
2024-07-14,48.44827586,M5-04
2024-08-18,34.04587156,M5-04
2024-09-21,42.43859649,M5-04
2024-06-17,83.54471545,M3-02
2024-07-13,111.5175439,M3-02
2024-08-16,65.43362832,M3-02
2024-09-21,55.83486239,M3-02
2024-06-17,66.12173913,M3-06
2024-07-13,65.7295082,M3-06
2024-08-16,52.54464286,M3-06
2024-09-21,55.95575221,M3-06
2024-06-17,64.70866142,M3-10
2024-07-13,64.00952381,M3-10
2024-08-16,59.38095238,M3-10
2024-09-20,75.0625,M3-10
2024-06-17,56.23140496,M3-08
2024-07-13,66.65486726,M3-08
2024-08-16,55.31896552,M3-08
2024-09-20,40.02678571,M3-08
2024-06-16,60.43859649,M4-04
2024-07-13,61.18055556,M4-04
2024-08-18,42.975,M4-04
2024-09-21,55.47272727,M4-04
2024-06-17,71.39130435,M5-08
2024-07-14,65.4137931,M5-08
2024-08-19,52.65656566,M5-08
2024-09-21,50.51694915,M5-08
2024-06-17,59.24786325,M3-04
2024-07-13,56.08264463,M3-04
2024-08-16,40.25471698,M3-04
2024-09-21,43.64166667,M3-04
2024-06-16,81.62857143,M4-12
2024-07-13,63.29090909,M4-12
2024-08-18,56.42342342,M4-12
2024-09-20,123.2580645,M4-12
2024-06-18,75.85436893,M6-12
2024-07-14,54.30769231,M6-12
2024-08-17,42.703125,M6-12
2024-09-21,53.47826087,M6-12
2024-06-18,70.28205128,M6-10
2024-07-14,57.46456693,M6-10
2024-08-17,37.765625,M6-10
2024-09-21,50.61261261,M6-10
